treatment,round_of_ten,Rounds,role,q,variable
notax,1,1-10,buyer,0,40
notax,1,1-10,buyer,1,30
notax,1,1-10,buyer,2,24
notax,1,1-10,buyer,3,22
notax,1,1-10,buyer,4,21
notax,1,1-10,buyer,7,20
notax,1,1-10,buyer,8,16
notax,1,1-10,buyer,12,15
notax,1,1-10,buyer,16,14
notax,1,1-10,buyer,17,12
notax,1,1-10,buyer,19,11
notax,1,1-10,buyer,22,10
notax,1,1-10,buyer,23,5
notax,1,1-10,buyer,23,0
notax,1,1-10,seller,0,0
notax,1,1-10,seller,1,2
notax,1,1-10,seller,2,5
notax,1,1-10,seller,3,6
notax,1,1-10,seller,4,9
notax,1,1-10,seller,7,10
notax,1,1-10,seller,8,11
notax,1,1-10,seller,9,12
notax,1,1-10,seller,12,15
notax,1,1-10,seller,15,16
notax,1,1-10,seller,16,18
notax,1,1-10,seller,18,20
notax,1,1-10,seller,19,25
notax,1,1-10,seller,20,26
notax,1,1-10,seller,21,40
notax,1,1-10,seller,21,40
notax,1,11-20,buyer,0,40
notax,1,11-20,buyer,1,29
notax,1,11-20,buyer,2,27
notax,1,11-20,buyer,3,23
notax,1,11-20,buyer,4,19
notax,1,11-20,buyer,5,18.1
notax,1,11-20,buyer,8,18
notax,1,11-20,buyer,9,17
notax,1,11-20,buyer,10,16
notax,1,11-20,buyer,11,15
notax,1,11-20,buyer,13,13
notax,1,11-20,buyer,14,11
notax,1,11-20,buyer,15,10
notax,1,11-20,buyer,16,0.01
notax,1,11-20,buyer,16,0
notax,1,11-20,seller,0,0
notax,1,11-20,seller,2,8
notax,1,11-20,seller,3,10
notax,1,11-20,seller,4,13
notax,1,11-20,seller,5,14
notax,1,11-20,seller,6,14.97
notax,1,11-20,seller,10,15
notax,1,11-20,seller,11,16
notax,1,11-20,seller,15,18
notax,1,11-20,seller,16,18.5
notax,1,11-20,seller,18,20
notax,1,11-20,seller,19,23
notax,1,11-20,seller,20,25
notax,1,11-20,seller,20,40
notax,2,1-10,buyer,0,40
notax,2,1-10,buyer,1,29
notax,2,1-10,buyer,2,24
notax,2,1-10,buyer,4,18
notax,2,1-10,buyer,8,16
notax,2,1-10,buyer,16,15
notax,2,1-10,buyer,17,14
notax,2,1-10,buyer,18,12
notax,2,1-10,buyer,20,11
notax,2,1-10,buyer,21,10
notax,2,1-10,buyer,22,2
notax,2,1-10,buyer,22,0
notax,2,1-10,seller,0,0
notax,2,1-10,seller,1,5
notax,2,1-10,seller,2,7
notax,2,1-10,seller,3,8
notax,2,1-10,seller,4,10
notax,2,1-10,seller,5,12
notax,2,1-10,seller,6,13.99
notax,2,1-10,seller,8,14
notax,2,1-10,seller,13,15
notax,2,1-10,seller,15,16
notax,2,1-10,seller,16,19
notax,2,1-10,seller,18,20
notax,2,1-10,seller,19,22
notax,2,1-10,seller,20,24
notax,2,1-10,seller,21,25
notax,2,1-10,seller,21,40
notax,2,11-20,buyer,0,40
notax,2,11-20,buyer,1,29
notax,2,11-20,buyer,2,27
notax,2,11-20,buyer,3,25
notax,2,11-20,buyer,4,20
notax,2,11-20,buyer,5,19
notax,2,11-20,buyer,7,18.5
notax,2,11-20,buyer,9,16
notax,2,11-20,buyer,11,15
notax,2,11-20,buyer,12,14
notax,2,11-20,buyer,13,13
notax,2,11-20,buyer,14,11
notax,2,11-20,buyer,15,10
notax,2,11-20,buyer,16,0.01
notax,2,11-20,buyer,16,0
notax,2,11-20,seller,0,0
