treatment,round_of_ten,Rounds,role,q,variable
notax,2,11-20,seller,1,7
notax,2,11-20,seller,2,8
notax,2,11-20,seller,3,12
notax,2,11-20,seller,4,13
notax,2,11-20,seller,6,14
notax,2,11-20,seller,8,15
notax,2,11-20,seller,16,16
notax,2,11-20,seller,17,17
notax,2,11-20,seller,19,18
notax,2,11-20,seller,20,30
notax,2,11-20,seller,20,40
notax,3,1-10,buyer,0,40
notax,3,1-10,buyer,1,31
notax,3,1-10,buyer,2,23
notax,3,1-10,buyer,3,18
notax,3,1-10,buyer,6,16
notax,3,1-10,buyer,7,15.7
notax,3,1-10,buyer,16,15
notax,3,1-10,buyer,17,14.9
notax,3,1-10,buyer,18,13
notax,3,1-10,buyer,19,10
notax,3,1-10,buyer,20,5
notax,3,1-10,buyer,20,0
notax,3,1-10,seller,0,0
notax,3,1-10,seller,1,5
notax,3,1-10,seller,2,8
notax,3,1-10,seller,3,10
notax,3,1-10,seller,6,12
notax,3,1-10,seller,7,13
notax,3,1-10,seller,11,14
notax,3,1-10,seller,18,15
notax,3,1-10,seller,19,18
notax,3,1-10,seller,21,20
notax,3,1-10,seller,21,40
notax,3,11-20,buyer,0,40
notax,3,11-20,buyer,1,29
notax,3,11-20,buyer,2,27
notax,3,11-20,buyer,4,25
notax,3,11-20,buyer,6,20
notax,3,11-20,buyer,7,18
notax,3,11-20,buyer,8,17
notax,3,11-20,buyer,10,16
notax,3,11-20,buyer,12,13
notax,3,11-20,buyer,13,11
notax,3,11-20,buyer,16,10
notax,3,11-20,buyer,16,0
notax,3,11-20,seller,0,0
notax,3,11-20,seller,2,8
notax,3,11-20,seller,3,9
notax,3,11-20,seller,5,10
notax,3,11-20,seller,6,12
notax,3,11-20,seller,7,14.9
notax,3,11-20,seller,10,15
notax,3,11-20,seller,16,16
notax,3,11-20,seller,17,16.5
notax,3,11-20,seller,20,18
notax,3,11-20,seller,20,40
notax,4,1-10,buyer,0,40
notax,4,1-10,buyer,1,31
notax,4,1-10,buyer,2,29
notax,4,1-10,buyer,3,23
notax,4,1-10,buyer,4,20
notax,4,1-10,buyer,5,17
notax,4,1-10,buyer,6,16
notax,4,1-10,buyer,7,15.1
notax,4,1-10,buyer,12,15
notax,4,1-10,buyer,13,14
notax,4,1-10,buyer,14,13
notax,4,1-10,buyer,16,11
notax,4,1-10,buyer,18,10
notax,4,1-10,buyer,19,6
notax,4,1-10,buyer,20,3
notax,4,1-10,buyer,20,0
notax,4,1-10,seller,0,0
notax,4,1-10,seller,2,5
notax,4,1-10,seller,3,10
notax,4,1-10,seller,4,13
notax,4,1-10,seller,8,14
notax,4,1-10,seller,9,14.9
notax,4,1-10,seller,15,15
notax,4,1-10,seller,19,16
notax,4,1-10,seller,20,17
notax,4,1-10,seller,21,20
notax,4,1-10,seller,21,40
notax,4,11-20,buyer,0,40
notax,4,11-20,buyer,1,29
notax,4,11-20,buyer,2,27
notax,4,11-20,buyer,3,26
notax,4,11-20,buyer,4,21
notax,4,11-20,buyer,6,20
notax,4,11-20,buyer,7,19
notax,4,11-20,buyer,9,16
notax,4,11-20,buyer,11,15
notax,4,11-20,buyer,12,14
notax,4,11-20,buyer,14,11
notax,4,11-20,buyer,16,10
notax,4,11-20,buyer,16,0
notax,4,11-20,seller,0,0
notax,4,11-20,seller,4,8
notax,4,11-20,seller,7,14
notax,4,11-20,seller,8,14.9
notax,4,11-20,seller,15,15
notax,4,11-20,seller,18,16
notax,4,11-20,seller,19,17
notax,4,11-20,seller,20,18
notax,4,11-20,seller,20,40
notax,5,1-10,buyer,0,40
notax,5,1-10,buyer,1,30
notax,5,1-10,buyer,2,29
notax,5,1-10,buyer,3,25
notax,5,1-10,buyer,4,20
notax,5,1-10,buyer,5,18
notax,5,1-10,buyer,9,16
notax,5,1-10,buyer,10,15.1
notax,5,1-10,buyer,15,15
notax,5,1-10,buyer,16,13
notax,5,1-10,buyer,17,11
notax,5,1-10,buyer,18,10
notax,5,1-10,buyer,19,5
notax,5,1-10,buyer,20,3
notax,5,1-10,buyer,20,0
notax,5,1-10,seller,0,0
notax,5,1-10,seller,1,5
notax,5,1-10,seller,2,9
notax,5,1-10,seller,3,10
notax,5,1-10,seller,4,11
notax,5,1-10,seller,5,12
notax,5,1-10,seller,6,13
notax,5,1-10,seller,7,14
notax,5,1-10,seller,9,14.9
notax,5,1-10,seller,14,15
notax,5,1-10,seller,16,16
notax,5,1-10,seller,17,17
notax,5,1-10,seller,18,18
notax,5,1-10,seller,19,18.6
notax,5,1-10,seller,20,20
notax,5,1-10,seller,21,29
notax,5,1-10,seller,21,40
notax,5,11-20,buyer,0,40
notax,5,11-20,buyer,1,29
notax,5,11-20,buyer,3,27
notax,5,11-20,buyer,4,26
notax,5,11-20,buyer,5,21
notax,5,11-20,buyer,6,20
notax,5,11-20,buyer,7,19
notax,5,11-20,buyer,8,16
notax,5,11-20,buyer,12,15
notax,5,11-20,buyer,13,14.44
notax,5,11-20,buyer,15,11
notax,5,11-20,buyer,16,10
notax,5,11-20,buyer,16,0
notax,5,11-20,seller,0,0
notax,5,11-20,seller,1,3
notax,5,11-20,seller,2,5
notax,5,11-20,seller,3,8
notax,5,11-20,seller,4,10
notax,5,11-20,seller,5,12
notax,5,11-20,seller,6,14
notax,5,11-20,seller,7,14.9
notax,5,11-20,seller,16,15
notax,5,11-20,seller,17,15.5
notax,5,11-20,seller,18,16
notax,5,11-20,seller,19,17
notax,5,11-20,seller,20,18
notax,5,11-20,seller,20,40
notax,6,1-10,buyer,0,40
notax,6,1-10,buyer,1,31
notax,6,1-10,buyer,2,29
notax,6,1-10,buyer,3,21
notax,6,1-10,buyer,6,20
notax,6,1-10,buyer,7,18
notax,6,1-10,buyer,8,16
notax,6,1-10,buyer,9,15.2
notax,6,1-10,buyer,10,15.1
notax,6,1-10,buyer,17,15
notax,6,1-10,buyer,18,11
notax,6,1-10,buyer,19,9
notax,6,1-10,buyer,20,3
notax,6,1-10,buyer,20,0
notax,6,1-10,seller,0,0
notax,6,1-10,seller,1,5
notax,6,1-10,seller,5,10
notax,6,1-10,seller,7,13
notax,6,1-10,seller,8,14
notax,6,1-10,seller,9,14.9
notax,6,1-10,seller,16,15
notax,6,1-10,seller,18,18
notax,6,1-10,seller,21,20
notax,6,1-10,seller,21,40
notax,6,11-20,buyer,0,40
notax,6,11-20,buyer,2,29
notax,6,11-20,buyer,3,27
notax,6,11-20,buyer,4,24
notax,6,11-20,buyer,5,23
notax,6,11-20,buyer,6,21
notax,6,11-20,buyer,8,20
notax,6,11-20,buyer,13,15
notax,6,11-20,buyer,14,14.44
notax,6,11-20,buyer,16,11
notax,6,11-20,buyer,16,0
notax,6,11-20,seller,0,0
notax,6,11-20,seller,1,3
notax,6,11-20,seller,2,5
notax,6,11-20,seller,4,6
notax,6,11-20,seller,5,13
notax,6,11-20,seller,7,14
notax,6,11-20,seller,8,14.9
notax,6,11-20,seller,9,14.99
notax,6,11-20,seller,18,15
notax,6,11-20,seller,19,16
notax,6,11-20,seller,20,18
notax,6,11-20,seller,20,40
notax,7,1-10,buyer,0,40
notax,7,1-10,buyer,2,29
notax,7,1-10,buyer,3,24
notax,7,1-10,buyer,4,23
notax,7,1-10,buyer,5,20
notax,7,1-10,buyer,7,16
notax,7,1-10,buyer,8,15.2
notax,7,1-10,buyer,16,15
notax,7,1-10,buyer,17,14
notax,7,1-10,buyer,18,11
notax,7,1-10,buyer,19,9
notax,7,1-10,buyer,20,3
notax,7,1-10,buyer,20,0
notax,7,1-10,seller,0,0
notax,7,1-10,seller,1,4.1
notax,7,1-10,seller,3,9
notax,7,1-10,seller,4,10
notax,7,1-10,seller,5,12
notax,7,1-10,seller,6,13
notax,7,1-10,seller,7,14
notax,7,1-10,seller,8,14.99
notax,7,1-10,seller,14,15
notax,7,1-10,seller,15,15.2
notax,7,1-10,seller,16,15.5
notax,7,1-10,seller,19,16
notax,7,1-10,seller,20,19
notax,7,1-10,seller,21,20
notax,7,1-10,seller,21,40
notax,7,11-20,buyer,0,40
notax,7,11-20,buyer,1,29
notax,7,11-20,buyer,3,27
notax,7,11-20,buyer,4,23
notax,7,11-20,buyer,6,21
notax,7,11-20,buyer,8,18
notax,7,11-20,buyer,12,15
notax,7,11-20,buyer,13,14
notax,7,11-20,buyer,16,11
notax,7,11-20,buyer,16,0
notax,7,11-20,seller,0,0
notax,7,11-20,seller,1,3
notax,7,11-20,seller,2,5
notax,7,11-20,seller,3,6
notax,7,11-20,seller,4,8
notax,7,11-20,seller,5,9
notax,7,11-20,seller,6,11
notax,7,11-20,seller,7,12
notax,7,11-20,seller,9,14
notax,7,11-20,seller,11,14.9
notax,7,11-20,seller,18,15
notax,7,11-20,seller,19,18
notax,7,11-20,seller,20,20
notax,7,11-20,seller,20,40
notax,8,1-10,buyer,0,40
notax,8,1-10,buyer,2,29
notax,8,1-10,buyer,3,22
notax,8,1-10,buyer,4,20
notax,8,1-10,buyer,6,18
notax,8,1-10,buyer,7,17
notax,8,1-10,buyer,8,16
notax,8,1-10,buyer,18,15
notax,8,1-10,buyer,19,12
notax,8,1-10,buyer,20,3
notax,8,1-10,buyer,20,0
notax,8,1-10,seller,0,0
notax,8,1-10,seller,1,4.1
notax,8,1-10,seller,3,8
notax,8,1-10,seller,4,10
notax,8,1-10,seller,5,14.5
notax,8,1-10,seller,8,14.99
notax,8,1-10,seller,14,15
notax,8,1-10,seller,15,15.1
notax,8,1-10,seller,16,18
notax,8,1-10,seller,17,19
notax,8,1-10,seller,20,20
notax,8,1-10,seller,21,21
notax,8,1-10,seller,21,40
notax,8,11-20,buyer,0,40
notax,8,11-20,buyer,1,29
notax,8,11-20,buyer,2,27
notax,8,11-20,buyer,3,22
notax,8,11-20,buyer,6,21
notax,8,11-20,buyer,7,20
notax,8,11-20,buyer,8,19
notax,8,11-20,buyer,9,18
notax,8,11-20,buyer,10,16
notax,8,11-20,buyer,12,15
notax,8,11-20,buyer,13,14.9
notax,8,11-20,buyer,16,11
notax,8,11-20,buyer,16,0
notax,8,11-20,seller,0,0
notax,8,11-20,seller,1,3
notax,8,11-20,seller,2,5
notax,8,11-20,seller,3,6
notax,8,11-20,seller,4,8
notax,8,11-20,seller,6,13
notax,8,11-20,seller,7,14
notax,8,11-20,seller,8,14.5
notax,8,11-20,seller,10,14.9
notax,8,11-20,seller,18,15
notax,8,11-20,seller,19,16
notax,8,11-20,seller,20,18
notax,8,11-20,seller,20,40
notax,9,1-10,buyer,0,40
notax,9,1-10,buyer,1,32
notax,9,1-10,buyer,2,29
notax,9,1-10,buyer,3,20
notax,9,1-10,buyer,5,18
notax,9,1-10,buyer,7,16
notax,9,1-10,buyer,18,15
notax,9,1-10,buyer,19,13
notax,9,1-10,buyer,20,10
notax,9,1-10,buyer,20,0
notax,9,1-10,seller,0,0
notax,9,1-10,seller,1,4.1
notax,9,1-10,seller,2,7
notax,9,1-10,seller,3,8
notax,9,1-10,seller,4,10
notax,9,1-10,seller,5,12
notax,9,1-10,seller,6,14
notax,9,1-10,seller,7,14.5
notax,9,1-10,seller,8,14.98
notax,9,1-10,seller,9,14.99
notax,9,1-10,seller,15,15
notax,9,1-10,seller,16,16
notax,9,1-10,seller,17,18
notax,9,1-10,seller,18,19
notax,9,1-10,seller,20,20
notax,9,1-10,seller,21,29
notax,9,1-10,seller,21,40
notax,9,11-20,buyer,0,40
notax,9,11-20,buyer,1,29
notax,9,11-20,buyer,2,27
notax,9,11-20,buyer,3,24
notax,9,11-20,buyer,4,23
notax,9,11-20,buyer,5,22
notax,9,11-20,buyer,7,21
notax,9,11-20,buyer,8,17
notax,9,11-20,buyer,11,16
notax,9,11-20,buyer,12,15
notax,9,11-20,buyer,14,14.9
notax,9,11-20,buyer,16,11
notax,9,11-20,buyer,16,0
notax,9,11-20,seller,0,0
notax,9,11-20,seller,1,3
notax,9,11-20,seller,3,5
notax,9,11-20,seller,5,8
notax,9,11-20,seller,6,14.5
notax,9,11-20,seller,8,14.9
notax,9,11-20,seller,9,14.99
notax,9,11-20,seller,17,15
notax,9,11-20,seller,18,15.5
notax,9,11-20,seller,19,16
notax,9,11-20,seller,20,18
notax,9,11-20,seller,20,40
notax,10,1-10,buyer,0,40
notax,10,1-10,buyer,3,29
notax,10,1-10,buyer,5,24
notax,10,1-10,buyer,6,23
notax,10,1-10,buyer,7,20
notax,10,1-10,buyer,9,17
notax,10,1-10,buyer,11,16
notax,10,1-10,buyer,18,15
notax,10,1-10,buyer,20,13
notax,10,1-10,buyer,20,0
notax,10,1-10,seller,0,0
notax,10,1-10,seller,1,4.1
notax,10,1-10,seller,2,7
notax,10,1-10,seller,3,10
notax,10,1-10,seller,4,12
notax,10,1-10,seller,6,13
notax,10,1-10,seller,7,14.97
notax,10,1-10,seller,8,14.99
notax,10,1-10,seller,16,15
notax,10,1-10,seller,17,16
notax,10,1-10,seller,18,19
notax,10,1-10,seller,20,20
notax,10,1-10,seller,21,29
notax,10,1-10,seller,21,40
notax,10,11-20,buyer,0,40
notax,10,11-20,buyer,1,29
notax,10,11-20,buyer,2,27
notax,10,11-20,buyer,3,25
notax,10,11-20,buyer,5,23
notax,10,11-20,buyer,7,21
notax,10,11-20,buyer,8,17
notax,10,11-20,buyer,12,15
notax,10,11-20,buyer,13,14.9
notax,10,11-20,buyer,15,11
notax,10,11-20,buyer,16,10
notax,10,11-20,buyer,16,0
notax,10,11-20,seller,0,0
notax,10,11-20,seller,2,3
notax,10,11-20,seller,3,5
notax,10,11-20,seller,4,8
notax,10,11-20,seller,5,12
notax,10,11-20,seller,6,14
notax,10,11-20,seller,7,14.5
notax,10,11-20,seller,8,14.9
notax,10,11-20,seller,17,15
notax,10,11-20,seller,18,15.1
notax,10,11-20,seller,19,16
notax,10,11-20,seller,20,18
notax,10,11-20,seller,20,40
tax,1,1-10,buyer,0,40
tax,1,1-10,buyer,2,22
tax,1,1-10,buyer,3,21
tax,1,1-10,buyer,4,20
tax,1,1-10,buyer,5,19
tax,1,1-10,buyer,6,18
tax,1,1-10,buyer,7,16
tax,1,1-10,buyer,9,15
tax,1,1-10,buyer,10,14
tax,1,1-10,buyer,13,12
tax,1,1-10,buyer,16,10
tax,1,1-10,buyer,16,0
tax,1,1-10,seller,0,0
tax,1,1-10,seller,1,10
tax,1,1-10,seller,2,12
tax,1,1-10,seller,4,16
tax,1,1-10,seller,6,18
tax,1,1-10,seller,7,20
tax,1,1-10,seller,8,23
tax,1,1-10,seller,9,24
tax,1,1-10,seller,10,25
tax,1,1-10,seller,11,26
tax,1,1-10,seller,12,29
tax,1,1-10,seller,15,30
tax,1,1-10,seller,16,37
tax,1,1-10,seller,18,40
tax,1,1-10,seller,18,40
tax,1,11-20,buyer,0,40
tax,1,11-20,buyer,1,25
tax,1,11-20,buyer,2,20
tax,1,11-20,buyer,3,18.5
tax,1,11-20,buyer,4,18.3
tax,1,11-20,buyer,5,18
tax,1,11-20,buyer,6,16
tax,1,11-20,buyer,11,15
tax,1,11-20,buyer,12,11
tax,1,11-20,buyer,13,6
tax,1,11-20,buyer,13,0
tax,1,11-20,seller,0,0
tax,1,11-20,seller,1,10.01
tax,1,11-20,seller,2,14.99
tax,1,11-20,seller,5,15
tax,1,11-20,seller,7,16
tax,1,11-20,seller,12,18
tax,1,11-20,seller,17,20
tax,1,11-20,seller,20,22
tax,1,11-20,seller,22,23
tax,1,11-20,seller,24,25
tax,1,11-20,seller,24,40
tax,2,1-10,buyer,0,40
tax,2,1-10,buyer,1,23
tax,2,1-10,buyer,2,22
tax,2,1-10,buyer,3,21
tax,2,1-10,buyer,4,20
tax,2,1-10,buyer,6,19
tax,2,1-10,buyer,12,18
tax,2,1-10,buyer,14,16
tax,2,1-10,buyer,15,12
tax,2,1-10,buyer,16,0
tax,2,1-10,buyer,16,0
tax,2,1-10,seller,0,0
tax,2,1-10,seller,1,16
tax,2,1-10,seller,2,17
tax,2,1-10,seller,6,18
tax,2,1-10,seller,7,18.5
tax,2,1-10,seller,8,19
tax,2,1-10,seller,9,20
tax,2,1-10,seller,10,21
tax,2,1-10,seller,11,22
tax,2,1-10,seller,13,25
tax,2,1-10,seller,14,26
tax,2,1-10,seller,15,28
tax,2,1-10,seller,16,29
tax,2,1-10,seller,17,34
tax,2,1-10,seller,18,38
tax,2,1-10,seller,18,40
tax,2,11-20,buyer,0,40
tax,2,11-20,buyer,2,20
tax,2,11-20,buyer,3,18
tax,2,11-20,buyer,4,16.2
tax,2,11-20,buyer,9,16
tax,2,11-20,buyer,11,15
tax,2,11-20,buyer,12,9
tax,2,11-20,buyer,13,8
tax,2,11-20,buyer,13,0
tax,2,11-20,seller,0,0
tax,2,11-20,seller,1,14
tax,2,11-20,seller,3,15
tax,2,11-20,seller,10,16
tax,2,11-20,seller,14,18
tax,2,11-20,seller,15,19
tax,2,11-20,seller,16,20
tax,2,11-20,seller,18,22
tax,2,11-20,seller,19,23
tax,2,11-20,seller,20,24
tax,2,11-20,seller,21,25
tax,2,11-20,seller,22,35
tax,2,11-20,seller,23,40
tax,2,11-20,seller,23,40
tax,3,1-10,buyer,0,40
tax,3,1-10,buyer,1,25
tax,3,1-10,buyer,2,23
tax,3,1-10,buyer,3,22
tax,3,1-10,buyer,5,20
tax,3,1-10,buyer,8,19
tax,3,1-10,buyer,9,18
tax,3,1-10,buyer,11,17
tax,3,1-10,buyer,13,16
tax,3,1-10,buyer,14,12
tax,3,1-10,buyer,15,10
tax,3,1-10,buyer,16,0
tax,3,1-10,buyer,16,0
tax,3,1-10,seller,0,0
tax,3,1-10,seller,1,16
tax,3,1-10,seller,8,18
tax,3,1-10,seller,10,20
tax,3,1-10,seller,11,22
tax,3,1-10,seller,13,23
tax,3,1-10,seller,14,24
tax,3,1-10,seller,15,26
tax,3,1-10,seller,16,27
tax,3,1-10,seller,17,28
tax,3,1-10,seller,17,40
tax,3,11-20,buyer,0,40
tax,3,11-20,buyer,1,18
tax,3,11-20,buyer,3,17
tax,3,11-20,buyer,4,16.2
tax,3,11-20,buyer,10,16
tax,3,11-20,buyer,12,13
tax,3,11-20,buyer,13,12
tax,3,11-20,buyer,13,0
tax,3,11-20,seller,0,0
tax,3,11-20,seller,1,13
tax,3,11-20,seller,3,15
tax,3,11-20,seller,9,16
tax,3,11-20,seller,11,17
tax,3,11-20,seller,12,18
tax,3,11-20,seller,15,19
tax,3,11-20,seller,17,20
tax,3,11-20,seller,19,22
tax,3,11-20,seller,20,24
tax,3,11-20,seller,21,25
tax,3,11-20,seller,22,26
tax,3,11-20,seller,23,40
tax,3,11-20,seller,23,40
tax,4,1-10,buyer,0,40
tax,4,1-10,buyer,1,22
tax,4,1-10,buyer,2,21
tax,4,1-10,buyer,4,20
tax,4,1-10,buyer,9,19
tax,4,1-10,buyer,10,18
tax,4,1-10,buyer,11,16
tax,4,1-10,buyer,13,12
tax,4,1-10,buyer,14,10
tax,4,1-10,buyer,15,0
tax,4,1-10,buyer,15,0
tax,4,1-10,seller,0,0
tax,4,1-10,seller,1,16
tax,4,1-10,seller,2,16.5
tax,4,1-10,seller,9,18
tax,4,1-10,seller,11,20
tax,4,1-10,seller,12,21
tax,4,1-10,seller,13,22
tax,4,1-10,seller,15,24
tax,4,1-10,seller,17,26
tax,4,1-10,seller,17,40
tax,4,11-20,buyer,0,40
tax,4,11-20,buyer,1,20
tax,4,11-20,buyer,2,16.2
tax,4,11-20,buyer,9,16
tax,4,11-20,buyer,10,15
tax,4,11-20,buyer,11,14
tax,4,11-20,buyer,12,13
tax,4,11-20,buyer,13,6
tax,4,11-20,buyer,13,0
tax,4,11-20,seller,0,0
tax,4,11-20,seller,1,15
tax,4,11-20,seller,9,16
tax,4,11-20,seller,11,17
tax,4,11-20,seller,12,18.01
tax,4,11-20,seller,13,19
tax,4,11-20,seller,16,20
tax,4,11-20,seller,17,22
tax,4,11-20,seller,18,23
tax,4,11-20,seller,21,25
tax,4,11-20,seller,22,39
tax,4,11-20,seller,22,40
tax,5,1-10,buyer,0,40
tax,5,1-10,buyer,1,23
tax,5,1-10,buyer,2,22
tax,5,1-10,buyer,4,20
tax,5,1-10,buyer,8,19
tax,5,1-10,buyer,9,18
tax,5,1-10,buyer,11,16
tax,5,1-10,buyer,13,12
tax,5,1-10,buyer,14,10
tax,5,1-10,buyer,15,0
tax,5,1-10,buyer,15,0
tax,5,1-10,seller,0,0
tax,5,1-10,seller,1,16
tax,5,1-10,seller,2,17.8
tax,5,1-10,seller,8,18
tax,5,1-10,seller,9,18.88
tax,5,1-10,seller,10,20.1
tax,5,1-10,seller,11,21
tax,5,1-10,seller,13,22
tax,5,1-10,seller,14,23
tax,5,1-10,seller,16,24
tax,5,1-10,seller,17,26
tax,5,1-10,seller,17,40
tax,5,11-20,buyer,0,40
tax,5,11-20,buyer,1,28
tax,5,11-20,buyer,2,16.2
tax,5,11-20,buyer,7,16
tax,5,11-20,buyer,8,15.8
tax,5,11-20,buyer,10,15
tax,5,11-20,buyer,11,13
tax,5,11-20,buyer,12,12
tax,5,11-20,buyer,13,9
tax,5,11-20,buyer,13,0
tax,5,11-20,seller,0,0
tax,5,11-20,seller,1,15.99
tax,5,11-20,seller,8,16
tax,5,11-20,seller,9,17
tax,5,11-20,seller,10,18
tax,5,11-20,seller,11,19
tax,5,11-20,seller,13,20
tax,5,11-20,seller,14,22
tax,5,11-20,seller,15,23
tax,5,11-20,seller,17,25
tax,5,11-20,seller,18,26
tax,5,11-20,seller,19,35
tax,5,11-20,seller,20,39
tax,5,11-20,seller,22,40
tax,5,11-20,seller,22,40
tax,6,1-10,buyer,0,40
tax,6,1-10,buyer,1,22.5
tax,6,1-10,buyer,2,21
tax,6,1-10,buyer,3,20
tax,6,1-10,buyer,6,19
tax,6,1-10,buyer,8,18
tax,6,1-10,buyer,10,17
tax,6,1-10,buyer,11,16
tax,6,1-10,buyer,13,12
tax,6,1-10,buyer,14,10
tax,6,1-10,buyer,15,0
tax,6,1-10,buyer,15,0
tax,6,1-10,seller,0,0
tax,6,1-10,seller,1,16
tax,6,1-10,seller,7,18
tax,6,1-10,seller,8,18.5
tax,6,1-10,seller,10,20
tax,6,1-10,seller,13,22
tax,6,1-10,seller,14,24
tax,6,1-10,seller,15,25
tax,6,1-10,seller,16,26
tax,6,1-10,seller,17,40
tax,6,1-10,seller,17,40
tax,6,11-20,buyer,0,40
tax,6,11-20,buyer,1,20
tax,6,11-20,buyer,2,17
tax,6,11-20,buyer,10,16
tax,6,11-20,buyer,11,15
tax,6,11-20,buyer,12,13
tax,6,11-20,buyer,13,9
tax,6,11-20,buyer,13,0
tax,6,11-20,seller,0,0
tax,6,11-20,seller,1,15.99
tax,6,11-20,seller,8,16
tax,6,11-20,seller,10,17
tax,6,11-20,seller,11,18
tax,6,11-20,seller,13,19
tax,6,11-20,seller,14,20
tax,6,11-20,seller,15,22
tax,6,11-20,seller,16,24
tax,6,11-20,seller,18,25
tax,6,11-20,seller,22,40
tax,6,11-20,seller,22,40
tax,7,1-10,buyer,0,40
tax,7,1-10,buyer,1,22.5
tax,7,1-10,buyer,6,19
tax,7,1-10,buyer,9,18
tax,7,1-10,buyer,10,17
tax,7,1-10,buyer,12,12
tax,7,1-10,buyer,13,10
tax,7,1-10,buyer,14,1
tax,7,1-10,buyer,15,0
tax,7,1-10,buyer,15,0
tax,7,1-10,seller,0,0
tax,7,1-10,seller,1,16
tax,7,1-10,seller,7,18
tax,7,1-10,seller,8,18.5
tax,7,1-10,seller,9,20
tax,7,1-10,seller,10,21
tax,7,1-10,seller,12,22
tax,7,1-10,seller,13,24
tax,7,1-10,seller,15,25
tax,7,1-10,seller,16,26
tax,7,1-10,seller,17,35
tax,7,1-10,seller,17,40
tax,7,11-20,buyer,0,40
tax,7,11-20,buyer,1,20
tax,7,11-20,buyer,8,16
tax,7,11-20,buyer,9,15
tax,7,11-20,buyer,10,14.5
tax,7,11-20,buyer,11,14
tax,7,11-20,buyer,12,12
tax,7,11-20,buyer,13,2
tax,7,11-20,buyer,13,0
tax,7,11-20,seller,0,0
tax,7,11-20,seller,1,15.99
tax,7,11-20,seller,7,16
tax,7,11-20,seller,8,17
tax,7,11-20,seller,10,18
tax,7,11-20,seller,12,20
tax,7,11-20,seller,13,22
tax,7,11-20,seller,14,23
tax,7,11-20,seller,15,24
tax,7,11-20,seller,18,25
