treatment,round_of_ten,Rounds,role,q,variable
notax,1,1-10,buyer,0,40
notax,1,1-10,buyer,1,27
notax,1,1-10,buyer,3,25
notax,1,1-10,buyer,5,24
notax,1,1-10,buyer,7,20
notax,1,1-10,buyer,8,17
notax,1,1-10,buyer,13,15
notax,1,1-10,buyer,14,12
notax,1,1-10,buyer,16,10
notax,1,1-10,buyer,17,7
notax,1,1-10,buyer,18,6
notax,1,1-10,buyer,19,1
notax,1,1-10,buyer,20,0
notax,1,1-10,buyer,20,0
notax,1,1-10,seller,0,0
notax,1,1-10,seller,2,6
notax,1,1-10,seller,3,7.59
notax,1,1-10,seller,4,8
notax,1,1-10,seller,6,10
notax,1,1-10,seller,7,12
notax,1,1-10,seller,8,14
notax,1,1-10,seller,9,15
notax,1,1-10,seller,11,17
notax,1,1-10,seller,13,19
notax,1,1-10,seller,16,20
notax,1,1-10,seller,17,25
notax,1,1-10,seller,19,30
notax,1,1-10,seller,19,40
notax,1,11-20,buyer,0,40
notax,1,11-20,buyer,1,28
notax,1,11-20,buyer,2,27
notax,1,11-20,buyer,3,24
notax,1,11-20,buyer,4,19
notax,1,11-20,buyer,6,18
notax,1,11-20,buyer,7,16
notax,1,11-20,buyer,10,15
notax,1,11-20,buyer,12,13
notax,1,11-20,buyer,15,10
notax,1,11-20,buyer,16,0.2
notax,1,11-20,buyer,16,0
notax,1,11-20,seller,0,0
notax,1,11-20,seller,1,7
notax,1,11-20,seller,2,8
notax,1,11-20,seller,6,10
notax,1,11-20,seller,7,13
notax,1,11-20,seller,8,14
notax,1,11-20,seller,11,15
notax,1,11-20,seller,12,18
notax,1,11-20,seller,13,20
notax,1,11-20,seller,14,25
notax,1,11-20,seller,15,26
notax,1,11-20,seller,15,40
notax,2,1-10,buyer,0,40
notax,2,1-10,buyer,2,24
notax,2,1-10,buyer,3,20
notax,2,1-10,buyer,5,19
notax,2,1-10,buyer,7,17
notax,2,1-10,buyer,9,16
notax,2,1-10,buyer,11,15
notax,2,1-10,buyer,13,14
notax,2,1-10,buyer,14,13
notax,2,1-10,buyer,15,12
notax,2,1-10,buyer,18,10
notax,2,1-10,buyer,19,4
notax,2,1-10,buyer,20,1
notax,2,1-10,buyer,20,0
notax,2,1-10,seller,0,0
notax,2,1-10,seller,1,9.65
notax,2,1-10,seller,2,10
notax,2,1-10,seller,3,13
notax,2,1-10,seller,4,14
notax,2,1-10,seller,11,15
notax,2,1-10,seller,13,16
notax,2,1-10,seller,15,17
notax,2,1-10,seller,16,18
notax,2,1-10,seller,17,20
notax,2,1-10,seller,18,20.7
notax,2,1-10,seller,19,30
notax,2,1-10,seller,19,40
notax,2,11-20,buyer,0,40
notax,2,11-20,buyer,1,28
notax,2,11-20,buyer,2,27
notax,2,11-20,buyer,3,26
notax,2,11-20,buyer,4,17
notax,2,11-20,buyer,6,16
notax,2,11-20,buyer,11,15
notax,2,11-20,buyer,12,12
notax,2,11-20,buyer,13,11
notax,2,11-20,buyer,15,5
notax,2,11-20,buyer,16,0
notax,2,11-20,buyer,16,0
notax,2,11-20,seller,0,0
notax,2,11-20,seller,2,10
notax,2,11-20,seller,3,12
notax,2,11-20,seller,4,13
notax,2,11-20,seller,6,14
notax,2,11-20,seller,14,15
notax,2,11-20,seller,14,40
notax,3,1-10,buyer,0,40
notax,3,1-10,buyer,1,25
notax,3,1-10,buyer,2,24
notax,3,1-10,buyer,3,20
notax,3,1-10,buyer,5,19
notax,3,1-10,buyer,6,18
notax,3,1-10,buyer,7,17
notax,3,1-10,buyer,8,16
notax,3,1-10,buyer,12,15
notax,3,1-10,buyer,14,14
notax,3,1-10,buyer,15,13
notax,3,1-10,buyer,16,10
notax,3,1-10,buyer,17,8
notax,3,1-10,buyer,19,2
notax,3,1-10,buyer,19,0
notax,3,1-10,seller,0,0
notax,3,1-10,seller,1,12.76
notax,3,1-10,seller,3,13
notax,3,1-10,seller,5,14
notax,3,1-10,seller,13,15
notax,3,1-10,seller,16,16
notax,3,1-10,seller,18,20
notax,3,1-10,seller,19,24
notax,3,1-10,seller,19,40
notax,3,11-20,buyer,0,40
notax,3,11-20,buyer,1,30
notax,3,11-20,buyer,2,28
notax,3,11-20,buyer,3,26
notax,3,11-20,buyer,4,18
notax,3,11-20,buyer,5,17
notax,3,11-20,buyer,7,16
notax,3,11-20,buyer,9,15
notax,3,11-20,buyer,10,14
notax,3,11-20,buyer,12,13
notax,3,11-20,buyer,14,12
notax,3,11-20,buyer,15,10
notax,3,11-20,buyer,16,9
notax,3,11-20,buyer,16,0
notax,3,11-20,seller,0,0
notax,3,11-20,seller,2,10
notax,3,11-20,seller,3,12
notax,3,11-20,seller,4,14
notax,3,11-20,seller,10,15
notax,3,11-20,seller,11,17
notax,3,11-20,seller,12,20
notax,3,11-20,seller,14,21
notax,3,11-20,seller,14,40
notax,4,1-10,buyer,0,40
notax,4,1-10,buyer,2,23
notax,4,1-10,buyer,4,19
notax,4,1-10,buyer,6,18
notax,4,1-10,buyer,8,16
notax,4,1-10,buyer,15,15
notax,4,1-10,buyer,16,14
notax,4,1-10,buyer,18,10
notax,4,1-10,buyer,19,5
notax,4,1-10,buyer,19,0
