treatment,round_of_ten,Rounds,role,q,variable
notax,4,1-10,seller,0,0
notax,4,1-10,seller,1,9
notax,4,1-10,seller,2,9.49
notax,4,1-10,seller,3,11
notax,4,1-10,seller,11,15
notax,4,1-10,seller,12,16
notax,4,1-10,seller,13,17
notax,4,1-10,seller,16,18
notax,4,1-10,seller,19,20
notax,4,1-10,seller,19,40
notax,4,11-20,buyer,0,40
notax,4,11-20,buyer,1,32
notax,4,11-20,buyer,2,28
notax,4,11-20,buyer,3,26
notax,4,11-20,buyer,5,17
notax,4,11-20,buyer,6,16
notax,4,11-20,buyer,8,15
notax,4,11-20,buyer,9,14.5
notax,4,11-20,buyer,11,14
notax,4,11-20,buyer,12,12
notax,4,11-20,buyer,13,10
notax,4,11-20,buyer,14,8
notax,4,11-20,buyer,15,5
notax,4,11-20,buyer,15,0
notax,4,11-20,seller,0,0
notax,4,11-20,seller,2,10
notax,4,11-20,seller,4,12
notax,4,11-20,seller,11,15
notax,4,11-20,seller,12,18
notax,4,11-20,seller,14,20
notax,4,11-20,seller,14,40
notax,5,1-10,buyer,0,40
notax,5,1-10,buyer,2,23
notax,5,1-10,buyer,3,22
notax,5,1-10,buyer,5,19
notax,5,1-10,buyer,6,18
notax,5,1-10,buyer,8,16
notax,5,1-10,buyer,13,15
notax,5,1-10,buyer,14,12.5
notax,5,1-10,buyer,15,11
notax,5,1-10,buyer,16,10
notax,5,1-10,buyer,17,9
notax,5,1-10,buyer,18,2
notax,5,1-10,buyer,19,1
notax,5,1-10,buyer,19,0
notax,5,1-10,seller,0,0
notax,5,1-10,seller,1,9
notax,5,1-10,seller,2,10
notax,5,1-10,seller,3,11.86
notax,5,1-10,seller,10,15
notax,5,1-10,seller,11,15.5
notax,5,1-10,seller,14,17
notax,5,1-10,seller,17,18
notax,5,1-10,seller,18,19
notax,5,1-10,seller,19,25
notax,5,1-10,seller,19,40
notax,5,11-20,buyer,0,40
notax,5,11-20,buyer,1,32
notax,5,11-20,buyer,2,30
notax,5,11-20,buyer,3,25
notax,5,11-20,buyer,4,17
notax,5,11-20,buyer,7,16
notax,5,11-20,buyer,9,15
notax,5,11-20,buyer,10,14
notax,5,11-20,buyer,13,13
notax,5,11-20,buyer,14,4
notax,5,11-20,buyer,15,1
notax,5,11-20,buyer,15,0
notax,5,11-20,seller,0,0
notax,5,11-20,seller,1,10
notax,5,11-20,seller,2,11
notax,5,11-20,seller,4,12
notax,5,11-20,seller,5,14
notax,5,11-20,seller,11,15
notax,5,11-20,seller,12,19
notax,5,11-20,seller,14,20
notax,5,11-20,seller,14,40
notax,6,1-10,buyer,0,40
notax,6,1-10,buyer,1,23
notax,6,1-10,buyer,2,22
notax,6,1-10,buyer,5,19
notax,6,1-10,buyer,6,18
notax,6,1-10,buyer,7,17
notax,6,1-10,buyer,9,16
notax,6,1-10,buyer,14,15
notax,6,1-10,buyer,15,14
notax,6,1-10,buyer,18,10
notax,6,1-10,buyer,19,2
notax,6,1-10,buyer,19,0
notax,6,1-10,seller,0,0
notax,6,1-10,seller,1,9
notax,6,1-10,seller,2,10.33
notax,6,1-10,seller,3,13.5
notax,6,1-10,seller,6,14
notax,6,1-10,seller,12,15
notax,6,1-10,seller,13,15.5
notax,6,1-10,seller,15,17
notax,6,1-10,seller,16,18
notax,6,1-10,seller,17,19
notax,6,1-10,seller,18,20
notax,6,1-10,seller,19,25
notax,6,1-10,seller,19,40
notax,6,11-20,buyer,0,40
notax,6,11-20,buyer,1,32
notax,6,11-20,buyer,2,27
notax,6,11-20,buyer,3,23
notax,6,11-20,buyer,4,18
notax,6,11-20,buyer,5,17
notax,6,11-20,buyer,8,16
notax,6,11-20,buyer,10,15
notax,6,11-20,buyer,11,14
notax,6,11-20,buyer,12,12.8
notax,6,11-20,buyer,13,10
notax,6,11-20,buyer,14,5
notax,6,11-20,buyer,15,0
notax,6,11-20,buyer,15,0
notax,6,11-20,seller,0,0
notax,6,11-20,seller,1,10
notax,6,11-20,seller,3,12
notax,6,11-20,seller,11,15
notax,6,11-20,seller,12,19
notax,6,11-20,seller,13,20
notax,6,11-20,seller,14,40
notax,6,11-20,seller,14,40
notax,7,1-10,buyer,0,40
notax,7,1-10,buyer,1,25
notax,7,1-10,buyer,2,22
notax,7,1-10,buyer,3,20
notax,7,1-10,buyer,4,19
notax,7,1-10,buyer,5,18
notax,7,1-10,buyer,7,17
notax,7,1-10,buyer,8,16
notax,7,1-10,buyer,15,15
notax,7,1-10,buyer,17,10
notax,7,1-10,buyer,19,8
notax,7,1-10,buyer,19,0
notax,7,1-10,seller,0,0
notax,7,1-10,seller,1,9
notax,7,1-10,seller,2,12
notax,7,1-10,seller,3,13
notax,7,1-10,seller,4,13.74
notax,7,1-10,seller,9,15
notax,7,1-10,seller,10,15.5
notax,7,1-10,seller,12,16
notax,7,1-10,seller,14,17
notax,7,1-10,seller,15,18
notax,7,1-10,seller,16,19
notax,7,1-10,seller,17,20
notax,7,1-10,seller,19,25
notax,7,1-10,seller,19,40
notax,7,11-20,buyer,0,40
notax,7,11-20,buyer,1,32
notax,7,11-20,buyer,2,27
notax,7,11-20,buyer,3,22
notax,7,11-20,buyer,4,18
notax,7,11-20,buyer,6,17
notax,7,11-20,buyer,7,16
notax,7,11-20,buyer,12,15
notax,7,11-20,buyer,13,14
notax,7,11-20,buyer,14,10
notax,7,11-20,buyer,15,6
notax,7,11-20,buyer,15,0
notax,7,11-20,seller,0,0
notax,7,11-20,seller,2,10
notax,7,11-20,seller,4,12
notax,7,11-20,seller,5,14
notax,7,11-20,seller,11,15
notax,7,11-20,seller,12,19
notax,7,11-20,seller,13,20
notax,7,11-20,seller,14,21
notax,7,11-20,seller,14,40
notax,8,1-10,buyer,0,40
notax,8,1-10,buyer,1,26
notax,8,1-10,buyer,2,25
notax,8,1-10,buyer,3,20
notax,8,1-10,buyer,4,19
notax,8,1-10,buyer,5,17
notax,8,1-10,buyer,7,16
notax,8,1-10,buyer,13,15
notax,8,1-10,buyer,15,10
notax,8,1-10,buyer,16,5
notax,8,1-10,buyer,17,3
notax,8,1-10,buyer,18,2
notax,8,1-10,buyer,19,0.5
notax,8,1-10,buyer,19,0
notax,8,1-10,seller,0,0
notax,8,1-10,seller,1,9
notax,8,1-10,seller,2,12
notax,8,1-10,seller,3,12.64
notax,8,1-10,seller,4,13
notax,8,1-10,seller,11,15
notax,8,1-10,seller,12,15.5
notax,8,1-10,seller,13,16
notax,8,1-10,seller,15,17
notax,8,1-10,seller,16,19
notax,8,1-10,seller,17,20
notax,8,1-10,seller,18,25
notax,8,1-10,seller,19,30
notax,8,1-10,seller,19,40
notax,8,11-20,buyer,0,40
notax,8,11-20,buyer,1,32
notax,8,11-20,buyer,2,27
notax,8,11-20,buyer,3,22
notax,8,11-20,buyer,5,17
notax,8,11-20,buyer,6,16.6
notax,8,11-20,buyer,9,16
notax,8,11-20,buyer,10,15
notax,8,11-20,buyer,11,14
notax,8,11-20,buyer,12,11
notax,8,11-20,buyer,13,10
notax,8,11-20,buyer,14,4
notax,8,11-20,buyer,15,3.3
notax,8,11-20,buyer,15,0
notax,8,11-20,seller,0,0
notax,8,11-20,seller,1,10
notax,8,11-20,seller,2,11
notax,8,11-20,seller,4,12
notax,8,11-20,seller,12,15
notax,8,11-20,seller,13,19
notax,8,11-20,seller,14,32
notax,8,11-20,seller,14,40
notax,9,1-10,buyer,0,40
notax,9,1-10,buyer,1,26
notax,9,1-10,buyer,2,20
notax,9,1-10,buyer,3,19
notax,9,1-10,buyer,4,18
notax,9,1-10,buyer,7,17
notax,9,1-10,buyer,8,16
notax,9,1-10,buyer,14,15
notax,9,1-10,buyer,16,10
notax,9,1-10,buyer,17,7
notax,9,1-10,buyer,18,1
notax,9,1-10,buyer,19,0.01
notax,9,1-10,buyer,19,0
notax,9,1-10,seller,0,0
notax,9,1-10,seller,1,9
notax,9,1-10,seller,2,11
notax,9,1-10,seller,3,12.5
notax,9,1-10,seller,4,13
notax,9,1-10,seller,11,15
notax,9,1-10,seller,12,16.85
notax,9,1-10,seller,13,17
notax,9,1-10,seller,14,19
notax,9,1-10,seller,16,20
notax,9,1-10,seller,17,25
notax,9,1-10,seller,19,26
notax,9,1-10,seller,19,40
notax,9,11-20,buyer,0,40
notax,9,11-20,buyer,1,32
notax,9,11-20,buyer,2,27
notax,9,11-20,buyer,3,26
notax,9,11-20,buyer,4,19
notax,9,11-20,buyer,5,17
notax,9,11-20,buyer,7,16
notax,9,11-20,buyer,9,14
notax,9,11-20,buyer,10,10
notax,9,11-20,buyer,11,9
notax,9,11-20,buyer,12,8
notax,9,11-20,buyer,13,6
notax,9,11-20,buyer,14,2
notax,9,11-20,buyer,15,0
notax,9,11-20,buyer,15,0
notax,9,11-20,seller,0,0
notax,9,11-20,seller,1,10
notax,9,11-20,seller,2,11
notax,9,11-20,seller,3,12
notax,9,11-20,seller,4,14.9
notax,9,11-20,seller,12,15
notax,9,11-20,seller,13,19
notax,9,11-20,seller,14,20
notax,9,11-20,seller,14,40
notax,10,1-10,buyer,0,40
notax,10,1-10,buyer,1,26
notax,10,1-10,buyer,3,19
notax,10,1-10,buyer,4,18
notax,10,1-10,buyer,6,16
notax,10,1-10,buyer,14,15
notax,10,1-10,buyer,15,12
notax,10,1-10,buyer,16,10
notax,10,1-10,buyer,17,9
notax,10,1-10,buyer,18,0.5
notax,10,1-10,buyer,19,0.01
notax,10,1-10,buyer,19,0
notax,10,1-10,seller,0,0
notax,10,1-10,seller,1,9
notax,10,1-10,seller,2,11.35
notax,10,1-10,seller,3,12
notax,10,1-10,seller,4,14.5
notax,10,1-10,seller,13,15
notax,10,1-10,seller,15,19
notax,10,1-10,seller,17,20
notax,10,1-10,seller,18,25
notax,10,1-10,seller,19,26
notax,10,1-10,seller,19,40
notax,10,11-20,buyer,0,40
notax,10,11-20,buyer,1,32
notax,10,11-20,buyer,2,27
notax,10,11-20,buyer,3,26
notax,10,11-20,buyer,5,18
notax,10,11-20,buyer,6,17
notax,10,11-20,buyer,8,16
notax,10,11-20,buyer,9,15
notax,10,11-20,buyer,11,14
notax,10,11-20,buyer,12,13
notax,10,11-20,buyer,13,9
notax,10,11-20,buyer,14,5
notax,10,11-20,buyer,15,0
notax,10,11-20,buyer,15,0
notax,10,11-20,seller,0,0
notax,10,11-20,seller,1,10
notax,10,11-20,seller,2,11
notax,10,11-20,seller,3,14
notax,10,11-20,seller,4,14.9
notax,10,11-20,seller,5,14.99
notax,10,11-20,seller,11,15
notax,10,11-20,seller,12,19
notax,10,11-20,seller,14,20
notax,10,11-20,seller,14,40
tax,1,1-10,buyer,0,40
tax,1,1-10,buyer,1,30
tax,1,1-10,buyer,2,28
tax,1,1-10,buyer,3,26
tax,1,1-10,buyer,4,21
tax,1,1-10,buyer,6,20
tax,1,1-10,buyer,7,18
tax,1,1-10,buyer,8,17
tax,1,1-10,buyer,10,15
tax,1,1-10,buyer,11,12
tax,1,1-10,buyer,12,10
tax,1,1-10,buyer,13,5
tax,1,1-10,buyer,13,0
tax,1,1-10,seller,0,0
tax,1,1-10,seller,1,6
tax,1,1-10,seller,2,9
tax,1,1-10,seller,3,13
tax,1,1-10,seller,4,14
tax,1,1-10,seller,5,15
tax,1,1-10,seller,8,16
tax,1,1-10,seller,9,19
tax,1,1-10,seller,10,23
tax,1,1-10,seller,11,26
tax,1,1-10,seller,12,27
tax,1,1-10,seller,16,30
tax,1,1-10,seller,17,35
tax,1,1-10,seller,18,40
tax,1,1-10,seller,18,40
tax,1,11-20,buyer,0,40
tax,1,11-20,buyer,1,28
tax,1,11-20,buyer,2,25
tax,1,11-20,buyer,3,24
tax,1,11-20,buyer,5,20
tax,1,11-20,buyer,7,19
tax,1,11-20,buyer,9,18
tax,1,11-20,buyer,10,17
tax,1,11-20,buyer,13,16
tax,1,11-20,buyer,17,15
tax,1,11-20,buyer,18,14
tax,1,11-20,buyer,20,12
tax,1,11-20,buyer,21,10.67
tax,1,11-20,buyer,22,10
tax,1,11-20,buyer,23,9
tax,1,11-20,buyer,23,0
tax,1,11-20,seller,0,0
tax,1,11-20,seller,1,16
tax,1,11-20,seller,3,17
tax,1,11-20,seller,4,19
tax,1,11-20,seller,8,20
tax,1,11-20,seller,10,22
tax,1,11-20,seller,11,35
tax,1,11-20,seller,11,40
tax,2,1-10,buyer,0,40
tax,2,1-10,buyer,1,23
tax,2,1-10,buyer,3,18
tax,2,1-10,buyer,6,17
tax,2,1-10,buyer,7,16.5
tax,2,1-10,buyer,9,16
tax,2,1-10,buyer,11,15
tax,2,1-10,buyer,12,11
tax,2,1-10,buyer,13,10
tax,2,1-10,buyer,13,0
tax,2,1-10,seller,0,0
tax,2,1-10,seller,1,6
tax,2,1-10,seller,2,13
tax,2,1-10,seller,3,15
tax,2,1-10,seller,7,16
tax,2,1-10,seller,10,17
tax,2,1-10,seller,12,20
tax,2,1-10,seller,13,24
tax,2,1-10,seller,16,25
tax,2,1-10,seller,18,27
tax,2,1-10,seller,18,40
tax,2,11-20,buyer,0,40
tax,2,11-20,buyer,1,25
tax,2,11-20,buyer,3,22
tax,2,11-20,buyer,4,21
tax,2,11-20,buyer,5,20.75
tax,2,11-20,buyer,11,20
tax,2,11-20,buyer,14,19
tax,2,11-20,buyer,15,18
tax,2,11-20,buyer,18,17
tax,2,11-20,buyer,19,16
tax,2,11-20,buyer,21,12
tax,2,11-20,buyer,23,9
tax,2,11-20,buyer,23,0
tax,2,11-20,seller,0,0
tax,2,11-20,seller,1,16
tax,2,11-20,seller,2,19
tax,2,11-20,seller,7,20
tax,2,11-20,seller,8,21
tax,2,11-20,seller,10,25
tax,2,11-20,seller,11,28
tax,2,11-20,seller,11,40
tax,3,1-10,buyer,0,40
tax,3,1-10,buyer,1,18
tax,3,1-10,buyer,6,17
tax,3,1-10,buyer,9,16
tax,3,1-10,buyer,12,15
tax,3,1-10,buyer,13,13
tax,3,1-10,buyer,13,0
tax,3,1-10,seller,0,0
tax,3,1-10,seller,1,13
tax,3,1-10,seller,7,16
tax,3,1-10,seller,9,17
tax,3,1-10,seller,14,20
tax,3,1-10,seller,15,22
tax,3,1-10,seller,16,23
tax,3,1-10,seller,17,24
tax,3,1-10,seller,18,25
tax,3,1-10,seller,18,40
tax,3,11-20,buyer,0,40
tax,3,11-20,buyer,1,24
tax,3,11-20,buyer,2,22
tax,3,11-20,buyer,4,21
tax,3,11-20,buyer,12,20
tax,3,11-20,buyer,13,19
tax,3,11-20,buyer,14,18
tax,3,11-20,buyer,17,17
tax,3,11-20,buyer,18,16
tax,3,11-20,buyer,19,13.5
tax,3,11-20,buyer,20,13.46
tax,3,11-20,buyer,21,12
tax,3,11-20,buyer,23,10
tax,3,11-20,buyer,23,0
tax,3,11-20,seller,0,0
tax,3,11-20,seller,1,18
tax,3,11-20,seller,3,19
tax,3,11-20,seller,8,20
tax,3,11-20,seller,9,25
tax,3,11-20,seller,10,26
tax,3,11-20,seller,11,30
tax,3,11-20,seller,11,40
tax,4,1-10,buyer,0,40
tax,4,1-10,buyer,3,18
tax,4,1-10,buyer,5,17
tax,4,1-10,buyer,9,16
tax,4,1-10,buyer,11,15
tax,4,1-10,buyer,12,14
tax,4,1-10,buyer,13,5
tax,4,1-10,buyer,13,0
tax,4,1-10,seller,0,0
tax,4,1-10,seller,1,13
tax,4,1-10,seller,3,15
tax,4,1-10,seller,5,16
tax,4,1-10,seller,9,17
tax,4,1-10,seller,10,19
tax,4,1-10,seller,11,20
tax,4,1-10,seller,12,21
tax,4,1-10,seller,14,22
tax,4,1-10,seller,15,24
tax,4,1-10,seller,16,25
tax,4,1-10,seller,17,35
tax,4,1-10,seller,18,40
tax,4,1-10,seller,18,40
tax,4,11-20,buyer,0,40
tax,4,11-20,buyer,1,25
tax,4,11-20,buyer,2,24.67
tax,4,11-20,buyer,3,23
tax,4,11-20,buyer,4,22
tax,4,11-20,buyer,5,21
tax,4,11-20,buyer,9,20
tax,4,11-20,buyer,10,19.5
tax,4,11-20,buyer,13,19
tax,4,11-20,buyer,14,18
tax,4,11-20,buyer,18,17
tax,4,11-20,buyer,19,16
tax,4,11-20,buyer,20,15
tax,4,11-20,buyer,21,12
tax,4,11-20,buyer,22,10
tax,4,11-20,buyer,22,0
tax,4,11-20,seller,0,0
tax,4,11-20,seller,2,19
tax,4,11-20,seller,6,20
tax,4,11-20,seller,7,22
tax,4,11-20,seller,9,25
tax,4,11-20,seller,10,30
tax,4,11-20,seller,10,40
tax,5,1-10,buyer,0,40
tax,5,1-10,buyer,1,25
tax,5,1-10,buyer,5,18
tax,5,1-10,buyer,7,17
tax,5,1-10,buyer,8,16.5
tax,5,1-10,buyer,9,16
tax,5,1-10,buyer,12,15
tax,5,1-10,buyer,13,14
tax,5,1-10,buyer,13,0
tax,5,1-10,seller,0,0
tax,5,1-10,seller,1,13
tax,5,1-10,seller,3,14
tax,5,1-10,seller,4,15
tax,5,1-10,seller,7,16
tax,5,1-10,seller,8,17
tax,5,1-10,seller,9,19
tax,5,1-10,seller,12,20
tax,5,1-10,seller,13,22
tax,5,1-10,seller,14,23
tax,5,1-10,seller,15,24
tax,5,1-10,seller,16,26
tax,5,1-10,seller,18,35
tax,5,1-10,seller,18,40
tax,5,11-20,buyer,0,40
tax,5,11-20,buyer,1,25
tax,5,11-20,buyer,2,24
tax,5,11-20,buyer,3,23
tax,5,11-20,buyer,9,20
tax,5,11-20,buyer,10,18.92
tax,5,11-20,buyer,12,18
tax,5,11-20,buyer,14,17
tax,5,11-20,buyer,17,16
tax,5,11-20,buyer,18,14
tax,5,11-20,buyer,19,12
tax,5,11-20,buyer,21,10
tax,5,11-20,buyer,22,8
tax,5,11-20,buyer,22,0
tax,5,11-20,seller,0,0
tax,5,11-20,seller,2,19
tax,5,11-20,seller,6,20
tax,5,11-20,seller,7,25
tax,5,11-20,seller,8,30
tax,5,11-20,seller,9,35
tax,5,11-20,seller,10,40
tax,5,11-20,seller,10,40
tax,6,1-10,buyer,0,40
tax,6,1-10,buyer,1,21
tax,6,1-10,buyer,4,18
tax,6,1-10,buyer,8,17
tax,6,1-10,buyer,9,16
tax,6,1-10,buyer,10,15
tax,6,1-10,buyer,11,14
tax,6,1-10,buyer,12,13
tax,6,1-10,buyer,13,10
tax,6,1-10,buyer,13,0
tax,6,1-10,seller,0,0
tax,6,1-10,seller,1,12
tax,6,1-10,seller,2,13
tax,6,1-10,seller,4,15
tax,6,1-10,seller,8,16
tax,6,1-10,seller,9,16.5
tax,6,1-10,seller,13,20
tax,6,1-10,seller,14,22
tax,6,1-10,seller,16,24
tax,6,1-10,seller,17,25
tax,6,1-10,seller,18,40
tax,6,1-10,seller,18,40
tax,6,11-20,buyer,0,40
tax,6,11-20,buyer,2,24
tax,6,11-20,buyer,3,23
tax,6,11-20,buyer,4,22
tax,6,11-20,buyer,10,20
tax,6,11-20,buyer,11,18
tax,6,11-20,buyer,12,17.68
tax,6,11-20,buyer,13,17.5
tax,6,11-20,buyer,16,17
tax,6,11-20,buyer,18,15
tax,6,11-20,buyer,19,13
tax,6,11-20,buyer,20,12
tax,6,11-20,buyer,21,10
tax,6,11-20,buyer,22,8
tax,6,11-20,buyer,22,0
tax,6,11-20,seller,0,0
tax,6,11-20,seller,1,19
tax,6,11-20,seller,7,20
tax,6,11-20,seller,8,25
tax,6,11-20,seller,9,38
tax,6,11-20,seller,10,39.99
tax,6,11-20,seller,10,40
tax,7,1-10,buyer,0,40
tax,7,1-10,buyer,1,20
tax,7,1-10,buyer,5,18
tax,7,1-10,buyer,7,17
tax,7,1-10,buyer,9,16
tax,7,1-10,buyer,12,15
tax,7,1-10,buyer,13,10
tax,7,1-10,buyer,13,0
tax,7,1-10,seller,0,0
tax,7,1-10,seller,1,11
tax,7,1-10,seller,2,13
tax,7,1-10,seller,3,15
tax,7,1-10,seller,4,15.9
tax,7,1-10,seller,6,16
tax,7,1-10,seller,7,17
tax,7,1-10,seller,9,20
tax,7,1-10,seller,10,22
tax,7,1-10,seller,12,24
tax,7,1-10,seller,13,25
tax,7,1-10,seller,14,26
tax,7,1-10,seller,15,28
tax,7,1-10,seller,16,30
tax,7,1-10,seller,17,40
tax,7,1-10,seller,17,40
tax,7,11-20,buyer,0,40
tax,7,11-20,buyer,1,25
tax,7,11-20,buyer,3,23
tax,7,11-20,buyer,4,22
tax,7,11-20,buyer,10,20
tax,7,11-20,buyer,11,19
tax,7,11-20,buyer,12,18
tax,7,11-20,buyer,14,17
tax,7,11-20,buyer,16,15
tax,7,11-20,buyer,17,14.58
tax,7,11-20,buyer,19,12
tax,7,11-20,buyer,20,11
tax,7,11-20,buyer,21,8
tax,7,11-20,buyer,22,5
tax,7,11-20,buyer,22,0
tax,7,11-20,seller,0,0
tax,7,11-20,seller,1,17
tax,7,11-20,seller,2,19
tax,7,11-20,seller,7,20
tax,7,11-20,seller,8,25
tax,7,11-20,seller,9,35.38
tax,7,11-20,seller,10,38
tax,7,11-20,seller,10,40
tax,8,1-10,buyer,0,40
tax,8,1-10,buyer,1,19
tax,8,1-10,buyer,5,18
tax,8,1-10,buyer,8,17
tax,8,1-10,buyer,12,15
tax,8,1-10,buyer,13,11
tax,8,1-10,buyer,13,0
tax,8,1-10,seller,0,0
tax,8,1-10,seller,1,11
tax,8,1-10,seller,2,13
tax,8,1-10,seller,5,16
tax,8,1-10,seller,6,17
tax,8,1-10,seller,7,18
tax,8,1-10,seller,8,19
tax,8,1-10,seller,10,20
tax,8,1-10,seller,11,22
tax,8,1-10,seller,13,24
tax,8,1-10,seller,14,25
tax,8,1-10,seller,15,26
tax,8,1-10,seller,16,35
tax,8,1-10,seller,16,40
tax,8,11-20,buyer,0,40
tax,8,11-20,buyer,1,25
tax,8,11-20,buyer,2,23.74
tax,8,11-20,buyer,4,23
tax,8,11-20,buyer,5,22
tax,8,11-20,buyer,11,20
tax,8,11-20,buyer,12,19
tax,8,11-20,buyer,14,17
tax,8,11-20,buyer,16,16
tax,8,11-20,buyer,17,15
tax,8,11-20,buyer,18,12
tax,8,11-20,buyer,19,11
tax,8,11-20,buyer,21,10
tax,8,11-20,buyer,22,8
tax,8,11-20,buyer,22,0
tax,8,11-20,seller,0,0
tax,8,11-20,seller,1,17
tax,8,11-20,seller,2,19
tax,8,11-20,seller,6,20
tax,8,11-20,seller,7,22
tax,8,11-20,seller,8,25
tax,8,11-20,seller,9,36.88
tax,8,11-20,seller,10,39.99
tax,8,11-20,seller,10,40
tax,9,1-10,buyer,0,40
tax,9,1-10,buyer,3,18
tax,9,1-10,buyer,8,17
tax,9,1-10,buyer,9,16
tax,9,1-10,buyer,12,15
